,city_mpg,highway_mpg,combination_mpg,cylinders,displacement
city_mpg,1.0,0.9195547850283039,0.9872860633806666,-0.723625018829096,-0.7374433209997563
highway_mpg,0.9195547850283039,1.0,0.9630300503274208,-0.714909527602536,-0.7258432779431963
combination_mpg,0.9872860633806666,0.9630300503274208,1.0,-0.749965882462001,-0.7629752917133688
cylinders,-0.723625018829096,-0.714909527602536,-0.749965882462001,1.0,0.9404297050169663
displacement,-0.7374433209997563,-0.7258432779431963,-0.7629752917133688,0.9404297050169663,1.0
