,Coefficient,P-value
const,-119.30477533397058,0.23667664192749613
displacement,-2.0193211990250473,4.474742837694783e-08
cylinders,-0.812955726385319,0.0015621523766569548
year,0.07460190006171559,0.13507365808516927
